Individual,Mean_moving_velocity,Date,Colony,Species,Origin
10_2_36,4.792687288,10/2/2022,BFLT4,Temnothorax_obturator,Brackenridge_Field_Laboratory_Austin_TX
10_2_37,2.529189554,10/2/2022,LAT14,Temnothorax_andrei,San_Gabriel_Mountains_CA
10_2_38,1.005919184,10/2/2022,LAT14,Temnothorax_andrei,San_Gabriel_Mountains_CA
10_2_39,1.660348421,10/2/2022,LAT14,Temnothorax_andrei,San_Gabriel_Mountains_CA
10_2_4,2.778329354,10/2/2022,GLT25,Temnothorax_curvispinosus,Griffy_Lake_Nature_Preserve_Bloomington_IN
10_2_40,2.916481837,10/2/2022,LAT14,Temnothorax_andrei,San_Gabriel_Mountains_CA
10_2_41,1.570169222,10/2/2022,LAT14,Temnothorax_andrei,San_Gabriel_Mountains_CA
10_2_42,1.926763398,10/2/2022,LAT9,Temnothorax_andrei,San_Gabriel_Mountains_CA
10_2_43,2.82889184,10/2/2022,LAT9,Temnothorax_andrei,San_Gabriel_Mountains_CA
10_2_44,2.762795147,10/2/2022,LAT9,Temnothorax_andrei,San_Gabriel_Mountains_CA
10_2_45,1.13024265,10/2/2022,PA221,Temnothorax_ambiguus,Penninsula_State_Park_Door_County_WI
10_2_46,10.66467985,10/2/2022,PWTa8,Tapinoma_sessile,Potawatomi_Woods_Cook_County_IL
10_2_47,2.47500551,10/2/2022,NPM522,Myrmica_punctiventris,Newport_State_Park_Door_County_WI
10_2_48,3.655132139,10/2/2022,NPM522,Myrmica_punctiventris,Newport_State_Park_Door_County_WI
10_2_5,3.779980024,10/2/2022,GLT25,Temnothorax_curvispinosus,Griffy_Lake_Nature_Preserve_Bloomington_IN
10_2_6,2.520476961,10/2/2022,GLT25,Temnothorax_curvispinosus,Griffy_Lake_Nature_Preserve_Bloomington_IN
10_2_7,3.14276192,10/2/2022,GLT25,Temnothorax_curvispinosus,Griffy_Lake_Nature_Preserve_Bloomington_IN
10_2_8,3.084449175,10/2/2022,GLT25,Temnothorax_curvispinosus,Griffy_Lake_Nature_Preserve_Bloomington_IN
10_2_9,3.536285092,10/2/2022,GLT25,Temnothorax_curvispinosus,Griffy_Lake_Nature_Preserve_Bloomington_IN
10_3_1,4.309938699,10/3/2022,NPM522,Myrmica_punctiventris,Newport_State_Park_Door_County_WI
10_3_10,5.603761936,10/3/2022,PWTa6,Tapinoma_sessile,Potawatomi_Woods_Cook_County_IL
10_3_11,2.939680638,10/3/2022,PPL14,Leptothorax_crassipilis,Pinal_Mountains_AZ
10_3_12,1.705132278,10/3/2022,PPL14,Leptothorax_crassipilis,Pinal_Mountains_AZ
10_3_13,3.472701141,10/3/2022,PPL14,Leptothorax_crassipilis,Pinal_Mountains_AZ
10_3_14,2.712871821,10/3/2022,PPL14,Leptothorax_crassipilis,Pinal_Mountains_AZ
10_3_15,0,10/3/2022,PPL14,Leptothorax_crassipilis,Pinal_Mountains_AZ
10_3_16,2.589745856,10/3/2022,PPL14,Leptothorax_crassipilis,Pinal_Mountains_AZ
10_3_17,3.461967297,10/3/2022,PPL14,Leptothorax_crassipilis,Pinal_Mountains_AZ
10_3_18,2.878616529,10/3/2022,NPM322,Myrmica_punctiventris,Newport_State_Park_Door_County_WI
10_3_19,2.314335094,10/3/2022,NPM122,Myrmica_punctiventris,Newport_State_Park_Door_County_WI
10_3_2,3.855636369,10/3/2022,NPM522,Myrmica_punctiventris,Newport_State_Park_Door_County_WI
10_3_20,1.886331301,10/3/2022,NPM122,Myrmica_punctiventris,Newport_State_Park_Door_County_WI
10_3_21,4.037679671,10/3/2022,NPM122,Myrmica_punctiventris,Newport_State_Park_Door_County_WI
10_3_22,1.733072936,10/3/2022,NPM122,Myrmica_punctiventris,Newport_State_Park_Door_County_WI
10_3_23,5.675950839,10/3/2022,NPM122,Myrmica_punctiventris,Newport_State_Park_Door_County_WI
10_3_24,6.455606,10/3/2022,NPM122,Myrmica_punctiventris,Newport_State_Park_Door_County_WI
10_3_25,9.369160888,10/3/2022,PWTa6,Tapinoma_sessile,Potawatomi_Woods_Cook_County_IL
10_3_26,9.508007554,10/3/2022,SHTa2,Tapinoma_sessile,Potawatomi_Woods_Cook_County_IL
10_3_27,5.678658935,10/3/2022,SHTa2,Tapinoma_sessile,Potawatomi_Woods_Cook_County_IL
10_3_28,7.158452248,10/3/2022,SHTa2,Tapinoma_sessile,Potawatomi_Woods_Cook_County_IL
10_3_29,6.346050543,10/3/2022,SHTa2,Tapinoma_sessile,Potawatomi_Woods_Cook_County_IL
10_3_3,5.943332956,10/3/2022,NPM522,Myrmica_punctiventris,Newport_State_Park_Door_County_WI
10_3_30,2.906898503,10/3/2022,GLT17,Temnothorax_curvispinosus,Griffy_Lake_Nature_Preserve_Bloomington_IN
10_3_31,2.746975237,10/3/2022,GLT17,Temnothorax_curvispinosus,Griffy_Lake_Nature_Preserve_Bloomington_IN
10_3_32,2.430387489,10/3/2022,GLT17,Temnothorax_curvispinosus,Griffy_Lake_Nature_Preserve_Bloomington_IN
10_3_33,4.169485201,10/3/2022,GLT17,Temnothorax_curvispinosus,Griffy_Lake_Nature_Preserve_Bloomington_IN
10_3_34,3.351403902,10/3/2022,GLT17,Temnothorax_curvispinosus,Griffy_Lake_Nature_Preserve_Bloomington_IN
10_3_35,1.923575303,10/3/2022,GLT17,Temnothorax_curvispinosus,Griffy_Lake_Nature_Preserve_Bloomington_IN
10_3_36,1.393080011,10/3/2022,LAT8,Temnothorax_nitens,San_Gabriel_Mountains_CA
10_3_37,4.40695965,10/3/2022,LAT8,Temnothorax_nitens,San_Gabriel_Mountains_CA
10_3_38,3.862920325,10/3/2022,LAT12,Temnothorax_nitens,San_Gabriel_Mountains_CA
10_3_39,7.212147482,10/3/2022,LAT12,Temnothorax_nitens,San_Gabriel_Mountains_CA
10_3_4,3.921543017,10/3/2022,PA2247,Temnothorax_ambiguus,Penninsula_State_Park_Door_County_WI
10_3_40,6.671610117,10/3/2022,CASL1,Leptothorax_crassipilis-nr-a,Ruidoso_NM
10_3_41,2.757378857,10/3/2022,PA2237,Temnothorax_ambiguus,Penninsula_State_Park_Door_County_WI
10_3_42,1.535490103,10/3/2022,PA2237,Temnothorax_ambiguus,Penninsula_State_Park_Door_County_WI
10_3_43,2.948258626,10/3/2022,PA2237,Temnothorax_ambiguus,Penninsula_State_Park_Door_County_WI
10_3_44,3.794402618,10/3/2022,PA2237,Temnothorax_ambiguus,Penninsula_State_Park_Door_County_WI
10_3_45,4.763880726,10/3/2022,PA2237,Temnothorax_ambiguus,Penninsula_State_Park_Door_County_WI
10_3_46,3.420965075,10/3/2022,PA2243,Temnothorax_ambiguus,Penninsula_State_Park_Door_County_WI
10_3_47,5.024551976,10/3/2022,PA2243,Temnothorax_ambiguus,Penninsula_State_Park_Door_County_WI
10_3_48,3.445125478,10/3/2022,PA2243,Temnothorax_ambiguus,Penninsula_State_Park_Door_County_WI
10_3_5,4.141185975,10/3/2022,PA2247,Temnothorax_ambiguus,Penninsula_State_Park_Door_County_WI
10_3_6,3.359621211,10/3/2022,PA2247,Temnothorax_ambiguus,Penninsula_State_Park_Door_County_WI
10_3_7,6.214148556,10/3/2022,BFLT1,Temnothorax_obturator,Brackenridge_Field_Laboratory_Austin_TX
10_3_8,3.664846938,10/3/2022,HML1,Leptothorax_az02,Huachuca_Mountains_AZ
10_3_9,2.311712791,10/3/2022,PWT2,Temnothorax_curvispinosus,Potawatomi_Woods_Cook_County_IL
6_20_1,7.614270826,6/20/2022,BFLT6,Temnothorax_subditivus,Brackenridge_Field_Laboratory_Austin_TX
6_20_10,5.589193932,6/20/2022,PPL3,Leptothorax_crassipilis,Pinal_Mountains_AZ
6_20_11,4.820609886,6/20/2022,PPL2,Leptothorax_crassipilis,Pinal_Mountains_AZ
6_20_12,5.392623915,6/20/2022,PPL2,Leptothorax_crassipilis,Pinal_Mountains_AZ
6_20_13,4.851744204,6/20/2022,PPL2,Leptothorax_crassipilis,Pinal_Mountains_AZ
6_20_14,2.587628542,6/20/2022,PPL2,Leptothorax_crassipilis,Pinal_Mountains_AZ
6_20_15,2.524846495,6/20/2022,PPL2,Leptothorax_crassipilis,Pinal_Mountains_AZ
6_20_16,3.780426471,6/20/2022,HMTr7,Temnothorax_rugatulus,Huachuca_Mountains_AZ
6_20_17,3.736240243,6/20/2022,HMTr7,Temnothorax_rugatulus,Huachuca_Mountains_AZ
6_20_18,3.064167221,6/20/2022,HMTr7,Temnothorax_rugatulus,Huachuca_Mountains_AZ
6_20_19,4.68425809,6/20/2022,HMTr2,Temnothorax_rugatulus,Huachuca_Mountains_AZ
6_20_2,3.46646508,6/20/2022,BFLT6,Temnothorax_subditivus,Brackenridge_Field_Laboratory_Austin_TX
6_20_20,4.091413236,6/20/2022,HMTr2,Temnothorax_rugatulus,Huachuca_Mountains_AZ
6_20_21,4.440449019,6/20/2022,HMTr2,Temnothorax_rugatulus,Huachuca_Mountains_AZ
6_20_22,3.744474556,6/20/2022,HM1T7,Temnothorax_adustus,Huachuca_Mountains_AZ
6_20_23,5.635845647,6/20/2022,HM1T7,Temnothorax_adustus,Huachuca_Mountains_AZ
6_20_24,8.34327625,6/20/2022,HM1T7,Temnothorax_adustus,Huachuca_Mountains_AZ
6_20_25,1.881930039,6/20/2022,BCGT1,Temnothorax_subditivus,Barton_Creek_Greenbelt_Austin_TX
6_20_26,1.510936023,6/20/2022,BCGT1,Temnothorax_subditivus,Barton_Creek_Greenbelt_Austin_TX
6_20_27,5.03611575,6/20/2022,BCGT1,Temnothorax_subditivus,Barton_Creek_Greenbelt_Austin_TX
6_20_28,2.914915044,6/20/2022,BCGT1,Temnothorax_subditivus,Barton_Creek_Greenbelt_Austin_TX
6_20_29,3.533282843,6/20/2022,BCGT1,Temnothorax_subditivus,Barton_Creek_Greenbelt_Austin_TX
6_20_3,2.112499481,6/20/2022,BFLT6,Temnothorax_subditivus,Brackenridge_Field_Laboratory_Austin_TX
6_20_30,5.824907064,6/20/2022,BCGT1,Temnothorax_subditivus,Barton_Creek_Greenbelt_Austin_TX
6_20_31,2.954053948,6/20/2022,PPT11,Temnothorax_rugatulus,Pinal_Mountains_AZ
6_20_32,2.654351281,6/20/2022,PPT11,Temnothorax_rugatulus,Pinal_Mountains_AZ
6_20_33,2.680728306,6/20/2022,PPT11,Temnothorax_rugatulus,Pinal_Mountains_AZ
6_20_34,3.960118796,6/20/2022,HM1T5,Temnothorax_adustus,Huachuca_Mountains_AZ
6_20_35,4.933368367,6/20/2022,HM1T5,Temnothorax_adustus,Huachuca_Mountains_AZ
6_20_36,4.048369508,6/20/2022,HM1T5,Temnothorax_adustus,Huachuca_Mountains_AZ
6_20_37,4.206483759,6/20/2022,HM1T10,Temnothorax_adustus,Huachuca_Mountains_AZ
6_20_38,3.405639685,6/20/2022,HM1T10,Temnothorax_adustus,Huachuca_Mountains_AZ
6_20_39,7.387514101,6/20/2022,HM1T10,Temnothorax_adustus,Huachuca_Mountains_AZ
6_20_4,3.278002538,6/20/2022,BFLT6,Temnothorax_subditivus,Brackenridge_Field_Laboratory_Austin_TX
6_20_40,3.203526927,6/20/2022,HM1T10,Temnothorax_adustus,Huachuca_Mountains_AZ
6_20_41,2.76632479,6/20/2022,HM1T10,Temnothorax_adustus,Huachuca_Mountains_AZ
6_20_42,5.006521625,6/20/2022,HM1T10,Temnothorax_adustus,Huachuca_Mountains_AZ
6_20_43,3.457984154,6/20/2022,PPT9,Temnothorax_rugatulus,Pinal_Mountains_AZ
6_20_44,2.607843771,6/20/2022,PPT9,Temnothorax_rugatulus,Pinal_Mountains_AZ
6_20_45,3.395611368,6/20/2022,PPT9,Temnothorax_rugatulus,Pinal_Mountains_AZ
6_20_46,1.713071954,6/20/2022,PPL4,Leptothorax_crassipilis,Pinal_Mountains_AZ
6_20_47,2.892269062,6/20/2022,PPL4,Leptothorax_crassipilis,Pinal_Mountains_AZ
6_20_48,4.007371196,6/20/2022,PPL4,Leptothorax_crassipilis,Pinal_Mountains_AZ
6_20_5,4.607243052,6/20/2022,BFLT6,Temnothorax_subditivus,Brackenridge_Field_Laboratory_Austin_TX
6_20_6,3.49540237,6/20/2022,BFLT6,Temnothorax_subditivus,Brackenridge_Field_Laboratory_Austin_TX
6_20_7,2.344898908,6/20/2022,PPL3,Leptothorax_crassipilis,Pinal_Mountains_AZ
6_20_8,2.775619619,6/20/2022,PPL3,Leptothorax_crassipilis,Pinal_Mountains_AZ
6_20_9,3.947600779,6/20/2022,PPL3,Leptothorax_crassipilis,Pinal_Mountains_AZ
6_21_1,2.058074988,6/21/2022,PPL17,Leptothorax_crassipilis,Pinal_Mountains_AZ
6_21_10,2.60064926,6/21/2022,PPT10,Temnothorax_rugatulus,Pinal_Mountains_AZ
6_21_11,2.835407215,6/21/2022,PPT10,Temnothorax_rugatulus,Pinal_Mountains_AZ
6_21_12,3.147423277,6/21/2022,HM1T10,Temnothorax_adustus,Huachuca_Mountains_AZ
6_21_13,1.919244258,6/21/2022,HM1T10,Temnothorax_adustus,Huachuca_Mountains_AZ
6_21_14,2.70054955,6/21/2022,HM1T10,Temnothorax_adustus,Huachuca_Mountains_AZ
6_21_15,2.957135916,6/21/2022,HM1T10,Temnothorax_adustus,Huachuca_Mountains_AZ
6_21_16,3.526157057,6/21/2022,HM1T10,Temnothorax_adustus,Huachuca_Mountains_AZ
6_21_17,2.226860521,6/21/2022,HM1T10,Temnothorax_adustus,Huachuca_Mountains_AZ
6_21_18,4.207238342,6/21/2022,WRT5,Temnothorax_rugatulus,Rimrock_WA
6_21_19,3.241052517,6/21/2022,WRT5,Temnothorax_rugatulus,Rimrock_WA
6_21_2,0,6/21/2022,PPL17,Leptothorax_crassipilis,Pinal_Mountains_AZ
6_21_20,3.567183148,6/21/2022,WRT5,Temnothorax_rugatulus,Rimrock_WA
6_21_21,4.014323527,6/21/2022,WRT5,Temnothorax_rugatulus,Rimrock_WA
6_21_22,3.473192933,6/21/2022,WRT5,Temnothorax_rugatulus,Rimrock_WA
6_21_23,6.620295695,6/21/2022,PPL5,Leptothorax_crassipilis,Pinal_Mountains_AZ
6_21_24,2.140695713,6/21/2022,PPL5,Leptothorax_crassipilis,Pinal_Mountains_AZ
6_21_25,3.770205668,6/21/2022,PPL5,Leptothorax_crassipilis,Pinal_Mountains_AZ
6_21_26,1.369747548,6/21/2022,BCGT1,Temnothorax_subditivus,Barton_Creek_Greenbelt_Austin_TX
6_21_27,3.063188514,6/21/2022,BCGT1,Temnothorax_subditivus,Barton_Creek_Greenbelt_Austin_TX
6_21_28,4.771950858,6/21/2022,BCGT1,Temnothorax_subditivus,Barton_Creek_Greenbelt_Austin_TX
6_21_29,8.725574961,6/21/2022,BCGT1,Temnothorax_subditivus,Barton_Creek_Greenbelt_Austin_TX
6_21_3,3.943139322,6/21/2022,PPL17,Leptothorax_crassipilis,Pinal_Mountains_AZ
6_21_30,1.769364996,6/21/2022,BCGT1,Temnothorax_subditivus,Barton_Creek_Greenbelt_Austin_TX
6_21_31,2.830020883,6/21/2022,BCGT1,Temnothorax_subditivus,Barton_Creek_Greenbelt_Austin_TX
6_21_32,2.864352954,6/21/2022,BCGT1,Temnothorax_subditivus,Barton_Creek_Greenbelt_Austin_TX
6_21_33,3.896836188,6/21/2022,BCGT1,Temnothorax_subditivus,Barton_Creek_Greenbelt_Austin_TX
6_21_34,6.587067325,6/21/2022,BCGT1,Temnothorax_subditivus,Barton_Creek_Greenbelt_Austin_TX
6_21_35,1.872221302,6/21/2022,BCGT1,Temnothorax_subditivus,Barton_Creek_Greenbelt_Austin_TX
6_21_36,6.407663201,6/21/2022,HM1T9,Temnothorax_adustus,Huachuca_Mountains_AZ
6_21_37,1.319261929,6/21/2022,HM1T9,Temnothorax_adustus,Huachuca_Mountains_AZ
6_21_38,2.950576446,6/21/2022,HM1T9,Temnothorax_adustus,Huachuca_Mountains_AZ
6_21_39,3.440757323,6/21/2022,BFLT6,Temnothorax_subditivus,Brackenridge_Field_Laboratory_Austin_TX
6_21_4,4.150357176,6/21/2022,PPL17,Leptothorax_crassipilis,Pinal_Mountains_AZ
6_21_40,3.684567426,6/21/2022,BFLT6,Temnothorax_subditivus,Brackenridge_Field_Laboratory_Austin_TX
6_21_41,2.741165679,6/21/2022,BFLT6,Temnothorax_subditivus,Brackenridge_Field_Laboratory_Austin_TX
6_21_42,0,6/21/2022,BFLT6,Temnothorax_subditivus,Brackenridge_Field_Laboratory_Austin_TX
6_21_43,3.260820939,6/21/2022,BFLT6,Temnothorax_subditivus,Brackenridge_Field_Laboratory_Austin_TX
6_21_44,4.474999443,6/21/2022,BFLT6,Temnothorax_subditivus,Brackenridge_Field_Laboratory_Austin_TX
6_21_45,8.221450393,6/21/2022,BFLT6,Temnothorax_subditivus,Brackenridge_Field_Laboratory_Austin_TX
6_21_46,3.316569379,6/21/2022,BFLT6,Temnothorax_subditivus,Brackenridge_Field_Laboratory_Austin_TX
6_21_47,4.593276908,6/21/2022,BFLT6,Temnothorax_subditivus,Brackenridge_Field_Laboratory_Austin_TX
6_21_48,8.742445844,6/21/2022,BFLT6,Temnothorax_subditivus,Brackenridge_Field_Laboratory_Austin_TX
6_21_5,4.726063968,6/21/2022,PPL17,Leptothorax_crassipilis,Pinal_Mountains_AZ
6_21_6,3.335958711,6/21/2022,PPL17,Leptothorax_crassipilis,Pinal_Mountains_AZ
6_21_7,1.718791589,6/21/2022,PPT10,Temnothorax_rugatulus,Pinal_Mountains_AZ
6_21_8,1.720091685,6/21/2022,PPT10,Temnothorax_rugatulus,Pinal_Mountains_AZ
6_21_9,4.641290594,6/21/2022,PPT10,Temnothorax_rugatulus,Pinal_Mountains_AZ
7_17_1,1.212518535,7/17/2022,PFT1,Temnothorax_rudis,Pack_Experimental_Forest_Pierce_County_WA
7_17_10,2.368633507,7/17/2022,PFT1,Temnothorax_rudis,Pack_Experimental_Forest_Pierce_County_WA
7_17_11,7.487825759,7/17/2022,SHL6,Leptothorax_calderoni,UC_Sagehen_Reserve_Nevada_County_CA
7_17_12,3.101859839,7/17/2022,SHL6,Leptothorax_calderoni,UC_Sagehen_Reserve_Nevada_County_CA
7_17_13,4.95676831,7/17/2022,SHL6,Leptothorax_calderoni,UC_Sagehen_Reserve_Nevada_County_CA
7_17_14,6.010790905,7/17/2022,SHL6,Leptothorax_calderoni,UC_Sagehen_Reserve_Nevada_County_CA
7_17_15,6.235705871,7/17/2022,SHL6,Leptothorax_calderoni,UC_Sagehen_Reserve_Nevada_County_CA
7_17_16,2.766452949,7/17/2022,EGT16,Temnothorax_rudis,Emigrant_Gap_CA
7_17_17,1.340882584,7/17/2022,EGT16,Temnothorax_rudis,Emigrant_Gap_CA
7_17_18,2.248112918,7/17/2022,EGT13,Temnothorax_rudis,Emigrant_Gap_CA
7_17_19,2.892771535,7/17/2022,EGT13,Temnothorax_rudis,Emigrant_Gap_CA
7_17_2,1.478713786,7/17/2022,PFT1,Temnothorax_rudis,Pack_Experimental_Forest_Pierce_County_WA
7_17_20,4.720115268,7/17/2022,SHL2,Leptothorax_athabasca,UC_Sagehen_Reserve_Nevada_County_CA
7_17_21,6.751253182,7/17/2022,SHL2,Leptothorax_athabasca,UC_Sagehen_Reserve_Nevada_County_CA
7_17_22,3.188089431,7/17/2022,EGT6,Temnothorax_rudis,Emigrant_Gap_CA
7_17_23,2.745754736,7/17/2022,EGT6,Temnothorax_rudis,Emigrant_Gap_CA
7_17_24,3.512744769,7/17/2022,EGT6,Temnothorax_rudis,Emigrant_Gap_CA
7_17_25,4.363756227,7/17/2022,EGT6,Temnothorax_rudis,Emigrant_Gap_CA
7_17_26,3.837988063,7/17/2022,EGT6,Temnothorax_rudis,Emigrant_Gap_CA
7_17_27,3.312338585,7/17/2022,SHL5,Leptothorax_athabasca,UC_Sagehen_Reserve_Nevada_County_CA
7_17_28,4.900391582,7/17/2022,SHL5,Leptothorax_athabasca,UC_Sagehen_Reserve_Nevada_County_CA
7_17_29,3.055855715,7/17/2022,SHL5,Leptothorax_athabasca,UC_Sagehen_Reserve_Nevada_County_CA
7_17_3,1.334909343,7/17/2022,PFT1,Temnothorax_rudis,Pack_Experimental_Forest_Pierce_County_WA
7_17_30,6.890901682,7/17/2022,SHL5,Leptothorax_athabasca,UC_Sagehen_Reserve_Nevada_County_CA
7_17_31,7.553666863,7/17/2022,SHL5,Leptothorax_athabasca,UC_Sagehen_Reserve_Nevada_County_CA
7_17_33,3.721840496,7/17/2022,SHL5,Leptothorax_athabasca,UC_Sagehen_Reserve_Nevada_County_CA
7_17_34,3.174289859,7/17/2022,SHL5,Leptothorax_athabasca,UC_Sagehen_Reserve_Nevada_County_CA
7_17_35,4.02760498,7/17/2022,SHL5,Leptothorax_athabasca,UC_Sagehen_Reserve_Nevada_County_CA
7_17_36,4.852484589,7/17/2022,SHL5,Leptothorax_athabasca,UC_Sagehen_Reserve_Nevada_County_CA
7_17_37,4.579771519,7/17/2022,SHL4,Leptothorax_calderoni,UC_Sagehen_Reserve_Nevada_County_CA
7_17_38,4.593178637,7/17/2022,SHL4,Leptothorax_calderoni,UC_Sagehen_Reserve_Nevada_County_CA
7_17_39,2.048556401,7/17/2022,SHL4,Leptothorax_calderoni,UC_Sagehen_Reserve_Nevada_County_CA
7_17_4,1.268143031,7/17/2022,PFT1,Temnothorax_rudis,Pack_Experimental_Forest_Pierce_County_WA
7_17_40,2.853936301,7/17/2022,SHL4,Leptothorax_calderoni,UC_Sagehen_Reserve_Nevada_County_CA
7_17_41,5.912492036,7/17/2022,SHL4,Leptothorax_calderoni,UC_Sagehen_Reserve_Nevada_County_CA
7_17_42,4.128734684,7/17/2022,SHL4,Leptothorax_calderoni,UC_Sagehen_Reserve_Nevada_County_CA
7_17_43,3.312423376,7/17/2022,SHL4,Leptothorax_calderoni,UC_Sagehen_Reserve_Nevada_County_CA
7_17_44,4.409157048,7/17/2022,SHL4,Leptothorax_calderoni,UC_Sagehen_Reserve_Nevada_County_CA
7_17_45,4.082731997,7/17/2022,SHL4,Leptothorax_calderoni,UC_Sagehen_Reserve_Nevada_County_CA
7_17_46,4.008878287,7/17/2022,SHL4,Leptothorax_calderoni,UC_Sagehen_Reserve_Nevada_County_CA
7_17_47,3.909247998,7/17/2022,SHL4,Leptothorax_calderoni,UC_Sagehen_Reserve_Nevada_County_CA
7_17_48,5.047961579,7/17/2022,SHL4,Leptothorax_calderoni,UC_Sagehen_Reserve_Nevada_County_CA
7_17_5,1.786156006,7/17/2022,PFT1,Temnothorax_rudis,Pack_Experimental_Forest_Pierce_County_WA
7_17_6,2.120249434,7/17/2022,PFT1,Temnothorax_rudis,Pack_Experimental_Forest_Pierce_County_WA
7_17_7,0.882150654,7/17/2022,PFT1,Temnothorax_rudis,Pack_Experimental_Forest_Pierce_County_WA
7_17_8,1.726578187,7/17/2022,PFT1,Temnothorax_rudis,Pack_Experimental_Forest_Pierce_County_WA
7_17_9,2.749151261,7/17/2022,PFT1,Temnothorax_rudis,Pack_Experimental_Forest_Pierce_County_WA
7_18_1,3.573396907,7/18/2022,SHL4,Leptothorax_calderoni,UC_Sagehen_Reserve_Nevada_County_CA
7_18_10,6.943610707,7/18/2022,SHL4,Leptothorax_calderoni,UC_Sagehen_Reserve_Nevada_County_CA
7_18_11,2.905233453,7/18/2022,EGT2,Temnothorax_rudis,Emigrant_Gap_CA
7_18_12,3.213372149,7/18/2022,EGT2,Temnothorax_rudis,Emigrant_Gap_CA
7_18_13,2.551229099,7/18/2022,EGT2,Temnothorax_rudis,Emigrant_Gap_CA
7_18_14,1.965026955,7/18/2022,EGT2,Temnothorax_rudis,Emigrant_Gap_CA
7_18_15,3.007624079,7/18/2022,EGT2,Temnothorax_rudis,Emigrant_Gap_CA
7_18_16,3.335151103,7/18/2022,EGT2,Temnothorax_rudis,Emigrant_Gap_CA
7_18_17,6.091645215,7/18/2022,SHL5,Leptothorax_athabasca,UC_Sagehen_Reserve_Nevada_County_CA
7_18_18,3.405321589,7/18/2022,SHL5,Leptothorax_athabasca,UC_Sagehen_Reserve_Nevada_County_CA
7_18_19,0,7/18/2022,PFT1,Temnothorax_rudis,Pack_Experimental_Forest_Pierce_County_WA
7_18_2,3.583333674,7/18/2022,SHL4,Leptothorax_calderoni,UC_Sagehen_Reserve_Nevada_County_CA
7_18_20,2.455434748,7/18/2022,PFT1,Temnothorax_rudis,Pack_Experimental_Forest_Pierce_County_WA
