"","sigsq","sigsq.tier","source","trait"
"sigsq.wavelet.CR",0.138096110348249,"sigsq.wavelet.CR","Colony","Rhythmicity"
"sigsq.wavelet.IR",0.00731107102821794,"sigsq.wavelet.IR","Individual","Rhythmicity"
"sigsq.period.CR",0.391107106556364,"sigsq.period.CR","Colony","Period"
"sigsq.period.IR",0.262377919418501,"sigsq.period.IR","Individual","Period"
"sigsq.wavelet.CR1",0.160523930994897,"sigsq.wavelet.CR","Colony","Rhythmicity"
"sigsq.wavelet.IR1",0.00713703017758419,"sigsq.wavelet.IR","Individual","Rhythmicity"
"sigsq.period.CR1",0.349896969004182,"sigsq.period.CR","Colony","Period"
"sigsq.period.IR1",0.0985375729844993,"sigsq.period.IR","Individual","Period"
"sigsq.wavelet.CR2",0.102128692313017,"sigsq.wavelet.CR","Colony","Rhythmicity"
"sigsq.wavelet.IR2",0.00877374425456811,"sigsq.wavelet.IR","Individual","Rhythmicity"
"sigsq.period.CR2",0.2560017794523,"sigsq.period.CR","Colony","Period"
"sigsq.period.IR2",0.244928397746574,"sigsq.period.IR","Individual","Period"
"sigsq.wavelet.CR3",0.14959252633917,"sigsq.wavelet.CR","Colony","Rhythmicity"
"sigsq.wavelet.IR3",0.0139374930315483,"sigsq.wavelet.IR","Individual","Rhythmicity"
"sigsq.period.CR3",0.281034985288825,"sigsq.period.CR","Colony","Period"
"sigsq.period.IR3",0.196067349788589,"sigsq.period.IR","Individual","Period"
"sigsq.wavelet.CR4",0.176975076242532,"sigsq.wavelet.CR","Colony","Rhythmicity"
"sigsq.wavelet.IR4",0.018211583050958,"sigsq.wavelet.IR","Individual","Rhythmicity"
"sigsq.period.CR4",0.294538071060212,"sigsq.period.CR","Colony","Period"
"sigsq.period.IR4",0.158653752090629,"sigsq.period.IR","Individual","Period"
"sigsq.wavelet.CR5",0.0866467544046508,"sigsq.wavelet.CR","Colony","Rhythmicity"
"sigsq.wavelet.IR5",0.00516285071787621,"sigsq.wavelet.IR","Individual","Rhythmicity"
"sigsq.period.CR5",0.358107678527951,"sigsq.period.CR","Colony","Period"
"sigsq.period.IR5",0.0978766293010194,"sigsq.period.IR","Individual","Period"
"sigsq.wavelet.CR6",0.0744066127267442,"sigsq.wavelet.CR","Colony","Rhythmicity"
"sigsq.wavelet.IR6",0.00554385474047408,"sigsq.wavelet.IR","Individual","Rhythmicity"
"sigsq.period.CR6",0.278250219031115,"sigsq.period.CR","Colony","Period"
"sigsq.period.IR6",0.16383746945656,"sigsq.period.IR","Individual","Period"
"sigsq.wavelet.CR7",0.0824162067778057,"sigsq.wavelet.CR","Colony","Rhythmicity"
"sigsq.wavelet.IR7",0.00839791873664087,"sigsq.wavelet.IR","Individual","Rhythmicity"
"sigsq.period.CR7",0.326616493702115,"sigsq.period.CR","Colony","Period"
"sigsq.period.IR7",0.153719428486912,"sigsq.period.IR","Individual","Period"
"sigsq.wavelet.CR8",0.248483681724842,"sigsq.wavelet.CR","Colony","Rhythmicity"
"sigsq.wavelet.IR8",0.00829845249679318,"sigsq.wavelet.IR","Individual","Rhythmicity"
"sigsq.period.CR8",0.295742251421454,"sigsq.period.CR","Colony","Period"
"sigsq.period.IR8",0.143341912977978,"sigsq.period.IR","Individual","Period"
"sigsq.wavelet.CR9",0.0955854266425415,"sigsq.wavelet.CR","Colony","Rhythmicity"
"sigsq.wavelet.IR9",0.00841529709569454,"sigsq.wavelet.IR","Individual","Rhythmicity"
"sigsq.period.CR9",0.299476348521595,"sigsq.period.CR","Colony","Period"
"sigsq.period.IR9",0.188693340977569,"sigsq.period.IR","Individual","Period"
"sigsq.wavelet.CR10",0.179921911651626,"sigsq.wavelet.CR","Colony","Rhythmicity"
"sigsq.wavelet.IR10",0.00658966298252038,"sigsq.wavelet.IR","Individual","Rhythmicity"
"sigsq.period.CR10",0.488267970920019,"sigsq.period.CR","Colony","Period"
"sigsq.period.IR10",0.191294604088655,"sigsq.period.IR","Individual","Period"
"sigsq.wavelet.CR11",0.0831655070159076,"sigsq.wavelet.CR","Colony","Rhythmicity"
"sigsq.wavelet.IR11",0.013792994632485,"sigsq.wavelet.IR","Individual","Rhythmicity"
"sigsq.period.CR11",0.33110931144089,"sigsq.period.CR","Colony","Period"
"sigsq.period.IR11",0.224272946859076,"sigsq.period.IR","Individual","Period"
"sigsq.wavelet.CR12",0.0820806627945837,"sigsq.wavelet.CR","Colony","Rhythmicity"
"sigsq.wavelet.IR12",0.00733813472835819,"sigsq.wavelet.IR","Individual","Rhythmicity"
"sigsq.period.CR12",0.281317947481363,"sigsq.period.CR","Colony","Period"
"sigsq.period.IR12",0.220755775459884,"sigsq.period.IR","Individual","Period"
"sigsq.wavelet.CR13",0.0784640091643523,"sigsq.wavelet.CR","Colony","Rhythmicity"
"sigsq.wavelet.IR13",0.0137181251348419,"sigsq.wavelet.IR","Individual","Rhythmicity"
"sigsq.period.CR13",0.383962746820766,"sigsq.period.CR","Colony","Period"
"sigsq.period.IR13",0.193657280893839,"sigsq.period.IR","Individual","Period"
"sigsq.wavelet.CR14",0.210694229651783,"sigsq.wavelet.CR","Colony","Rhythmicity"
"sigsq.wavelet.IR14",0.00932425212409382,"sigsq.wavelet.IR","Individual","Rhythmicity"
"sigsq.period.CR14",0.358174884684243,"sigsq.period.CR","Colony","Period"
"sigsq.period.IR14",0.0794368631377001,"sigsq.period.IR","Individual","Period"
"sigsq.wavelet.CR15",0.0470147166811311,"sigsq.wavelet.CR","Colony","Rhythmicity"
"sigsq.wavelet.IR15",0.0153559681678386,"sigsq.wavelet.IR","Individual","Rhythmicity"
"sigsq.period.CR15",0.150681092619971,"sigsq.period.CR","Colony","Period"
"sigsq.period.IR15",0.114064436346341,"sigsq.period.IR","Individual","Period"
"sigsq.wavelet.CR16",0.130420999093957,"sigsq.wavelet.CR","Colony","Rhythmicity"
"sigsq.wavelet.IR16",0.0216393247628789,"sigsq.wavelet.IR","Individual","Rhythmicity"
"sigsq.period.CR16",0.293038319985537,"sigsq.period.CR","Colony","Period"
"sigsq.period.IR16",0.232794660921329,"sigsq.period.IR","Individual","Period"
"sigsq.wavelet.CR17",0.0985139371670996,"sigsq.wavelet.CR","Colony","Rhythmicity"
"sigsq.wavelet.IR17",0.00290267507943608,"sigsq.wavelet.IR","Individual","Rhythmicity"
"sigsq.period.CR17",0.293239632997483,"sigsq.period.CR","Colony","Period"
"sigsq.period.IR17",0.164892739363623,"sigsq.period.IR","Individual","Period"
"sigsq.wavelet.CR18",0.0706098103310525,"sigsq.wavelet.CR","Colony","Rhythmicity"
"sigsq.wavelet.IR18",0.00527491439885578,"sigsq.wavelet.IR","Individual","Rhythmicity"
"sigsq.period.CR18",0.199332381771324,"sigsq.period.CR","Colony","Period"
"sigsq.period.IR18",0.150456456737094,"sigsq.period.IR","Individual","Period"
"sigsq.wavelet.CR19",0.256377348968204,"sigsq.wavelet.CR","Colony","Rhythmicity"
"sigsq.wavelet.IR19",0.0058743940259905,"sigsq.wavelet.IR","Individual","Rhythmicity"
"sigsq.period.CR19",0.334760575815924,"sigsq.period.CR","Colony","Period"
"sigsq.period.IR19",0.147678010677128,"sigsq.period.IR","Individual","Period"
"sigsq.wavelet.CR20",0.12077170099003,"sigsq.wavelet.CR","Colony","Rhythmicity"
"sigsq.wavelet.IR20",0.00838893326484836,"sigsq.wavelet.IR","Individual","Rhythmicity"
"sigsq.period.CR20",0.352871552916058,"sigsq.period.CR","Colony","Period"
"sigsq.period.IR20",0.395965657750214,"sigsq.period.IR","Individual","Period"
"sigsq.wavelet.CR21",0.0819215740338119,"sigsq.wavelet.CR","Colony","Rhythmicity"
"sigsq.wavelet.IR21",0.005593466744773,"sigsq.wavelet.IR","Individual","Rhythmicity"
"sigsq.period.CR21",0.398946416119993,"sigsq.period.CR","Colony","Period"
"sigsq.period.IR21",0.226665764970261,"sigsq.period.IR","Individual","Period"
"sigsq.wavelet.CR22",0.100258387721444,"sigsq.wavelet.CR","Colony","Rhythmicity"
"sigsq.wavelet.IR22",0.00656444809877955,"sigsq.wavelet.IR","Individual","Rhythmicity"
"sigsq.period.CR22",0.328217217072982,"sigsq.period.CR","Colony","Period"
"sigsq.period.IR22",0.125763348897854,"sigsq.period.IR","Individual","Period"
"sigsq.wavelet.CR23",0.0729051166637803,"sigsq.wavelet.CR","Colony","Rhythmicity"
"sigsq.wavelet.IR23",0.00916788176972942,"sigsq.wavelet.IR","Individual","Rhythmicity"
"sigsq.period.CR23",0.191013095216927,"sigsq.period.CR","Colony","Period"
"sigsq.period.IR23",0.327713556769328,"sigsq.period.IR","Individual","Period"
"sigsq.wavelet.CR24",0.0972435827698867,"sigsq.wavelet.CR","Colony","Rhythmicity"
"sigsq.wavelet.IR24",0.0103813964061589,"sigsq.wavelet.IR","Individual","Rhythmicity"
"sigsq.period.CR24",0.337220834690195,"sigsq.period.CR","Colony","Period"
"sigsq.period.IR24",0.124079443693028,"sigsq.period.IR","Individual","Period"
"sigsq.wavelet.CR25",0.0693036572769856,"sigsq.wavelet.CR","Colony","Rhythmicity"
"sigsq.wavelet.IR25",0.00422470303887205,"sigsq.wavelet.IR","Individual","Rhythmicity"
"sigsq.period.CR25",0.228707757587337,"sigsq.period.CR","Colony","Period"
"sigsq.period.IR25",0.18927639228943,"sigsq.period.IR","Individual","Period"
"sigsq.wavelet.CR26",0.0764181468378015,"sigsq.wavelet.CR","Colony","Rhythmicity"
"sigsq.wavelet.IR26",0.00585179580912735,"sigsq.wavelet.IR","Individual","Rhythmicity"
"sigsq.period.CR26",0.273671592296716,"sigsq.period.CR","Colony","Period"
"sigsq.period.IR26",0.203188384732453,"sigsq.period.IR","Individual","Period"
"sigsq.wavelet.CR27",0.0902275347224889,"sigsq.wavelet.CR","Colony","Rhythmicity"
"sigsq.wavelet.IR27",0.00879254582875707,"sigsq.wavelet.IR","Individual","Rhythmicity"
"sigsq.period.CR27",0.346591260177578,"sigsq.period.CR","Colony","Period"
"sigsq.period.IR27",0.297344796678611,"sigsq.period.IR","Individual","Period"
"sigsq.wavelet.CR28",0.095061480514038,"sigsq.wavelet.CR","Colony","Rhythmicity"
"sigsq.wavelet.IR28",0.0102585350899902,"sigsq.wavelet.IR","Individual","Rhythmicity"
"sigsq.period.CR28",0.358553915306553,"sigsq.period.CR","Colony","Period"
"sigsq.period.IR28",0.119040692829395,"sigsq.period.IR","Individual","Period"
"sigsq.wavelet.CR29",0.0785682121162135,"sigsq.wavelet.CR","Colony","Rhythmicity"
"sigsq.wavelet.IR29",0.00538288719300345,"sigsq.wavelet.IR","Individual","Rhythmicity"
"sigsq.period.CR29",0.269312640907729,"sigsq.period.CR","Colony","Period"
"sigsq.period.IR29",0.212154587587582,"sigsq.period.IR","Individual","Period"
"sigsq.wavelet.CR30",0.109431624590729,"sigsq.wavelet.CR","Colony","Rhythmicity"
"sigsq.wavelet.IR30",0.00665425925139939,"sigsq.wavelet.IR","Individual","Rhythmicity"
"sigsq.period.CR30",0.345776328932732,"sigsq.period.CR","Colony","Period"
"sigsq.period.IR30",0.178713562684048,"sigsq.period.IR","Individual","Period"
"sigsq.wavelet.CR31",0.0862456656525831,"sigsq.wavelet.CR","Colony","Rhythmicity"
"sigsq.wavelet.IR31",0.00414183735814903,"sigsq.wavelet.IR","Individual","Rhythmicity"
"sigsq.period.CR31",0.32940654339783,"sigsq.period.CR","Colony","Period"
"sigsq.period.IR31",0.230035632063286,"sigsq.period.IR","Individual","Period"
"sigsq.wavelet.CR32",0.1503480506557,"sigsq.wavelet.CR","Colony","Rhythmicity"
"sigsq.wavelet.IR32",0.00478517279335622,"sigsq.wavelet.IR","Individual","Rhythmicity"
"sigsq.period.CR32",0.249857060577727,"sigsq.period.CR","Colony","Period"
"sigsq.period.IR32",0.155092444501133,"sigsq.period.IR","Individual","Period"
"sigsq.wavelet.CR33",0.0640357403186307,"sigsq.wavelet.CR","Colony","Rhythmicity"
"sigsq.wavelet.IR33",0.00688114643655147,"sigsq.wavelet.IR","Individual","Rhythmicity"
"sigsq.period.CR33",0.375348619185067,"sigsq.period.CR","Colony","Period"
"sigsq.period.IR33",0.163653373497828,"sigsq.period.IR","Individual","Period"
"sigsq.wavelet.CR34",0.0905790987167658,"sigsq.wavelet.CR","Colony","Rhythmicity"
"sigsq.wavelet.IR34",0.00597040244154818,"sigsq.wavelet.IR","Individual","Rhythmicity"
"sigsq.period.CR34",0.32682068504562,"sigsq.period.CR","Colony","Period"
"sigsq.period.IR34",0.200628639568989,"sigsq.period.IR","Individual","Period"
"sigsq.wavelet.CR35",0.168231218085539,"sigsq.wavelet.CR","Colony","Rhythmicity"
"sigsq.wavelet.IR35",0.00686683754840428,"sigsq.wavelet.IR","Individual","Rhythmicity"
"sigsq.period.CR35",0.335443771330287,"sigsq.period.CR","Colony","Period"
"sigsq.period.IR35",0.291779430115048,"sigsq.period.IR","Individual","Period"
"sigsq.wavelet.CR36",0.180257540849767,"sigsq.wavelet.CR","Colony","Rhythmicity"
"sigsq.wavelet.IR36",0.0123899809635747,"sigsq.wavelet.IR","Individual","Rhythmicity"
"sigsq.period.CR36",0.351165715243395,"sigsq.period.CR","Colony","Period"
"sigsq.period.IR36",0.0911647314842611,"sigsq.period.IR","Individual","Period"
"sigsq.wavelet.CR37",0.141348764391912,"sigsq.wavelet.CR","Colony","Rhythmicity"
"sigsq.wavelet.IR37",0.00835101440723313,"sigsq.wavelet.IR","Individual","Rhythmicity"
"sigsq.period.CR37",0.370612864671146,"sigsq.period.CR","Colony","Period"
"sigsq.period.IR37",0.202333680609652,"sigsq.period.IR","Individual","Period"
"sigsq.wavelet.CR38",0.067133197440572,"sigsq.wavelet.CR","Colony","Rhythmicity"
"sigsq.wavelet.IR38",0.00621001175030808,"sigsq.wavelet.IR","Individual","Rhythmicity"
"sigsq.period.CR38",0.293811758902857,"sigsq.period.CR","Colony","Period"
"sigsq.period.IR38",0.178032795990699,"sigsq.period.IR","Individual","Period"
"sigsq.wavelet.CR39",0.111873178455719,"sigsq.wavelet.CR","Colony","Rhythmicity"
"sigsq.wavelet.IR39",0.00811931445061167,"sigsq.wavelet.IR","Individual","Rhythmicity"
"sigsq.period.CR39",0.23063006439112,"sigsq.period.CR","Colony","Period"
"sigsq.period.IR39",0.138595264585209,"sigsq.period.IR","Individual","Period"
"sigsq.wavelet.CR40",0.107065100377627,"sigsq.wavelet.CR","Colony","Rhythmicity"
"sigsq.wavelet.IR40",0.013826084225493,"sigsq.wavelet.IR","Individual","Rhythmicity"
"sigsq.period.CR40",0.329119290295572,"sigsq.period.CR","Colony","Period"
"sigsq.period.IR40",0.0676936852618825,"sigsq.period.IR","Individual","Period"
"sigsq.wavelet.CR41",0.127471451818494,"sigsq.wavelet.CR","Colony","Rhythmicity"
"sigsq.wavelet.IR41",0.0127541881502002,"sigsq.wavelet.IR","Individual","Rhythmicity"
"sigsq.period.CR41",0.416257523721098,"sigsq.period.CR","Colony","Period"
"sigsq.period.IR41",0.0828635110571619,"sigsq.period.IR","Individual","Period"
"sigsq.wavelet.CR42",0.217593331649226,"sigsq.wavelet.CR","Colony","Rhythmicity"
"sigsq.wavelet.IR42",0.00563501544138866,"sigsq.wavelet.IR","Individual","Rhythmicity"
"sigsq.period.CR42",0.307692712092851,"sigsq.period.CR","Colony","Period"
"sigsq.period.IR42",0.213536103578963,"sigsq.period.IR","Individual","Period"
"sigsq.wavelet.CR43",0.105143244125289,"sigsq.wavelet.CR","Colony","Rhythmicity"
"sigsq.wavelet.IR43",0.00472044345443601,"sigsq.wavelet.IR","Individual","Rhythmicity"
"sigsq.period.CR43",0.294977190567671,"sigsq.period.CR","Colony","Period"
"sigsq.period.IR43",0.104395050482312,"sigsq.period.IR","Individual","Period"
"sigsq.wavelet.CR44",0.0910902881613353,"sigsq.wavelet.CR","Colony","Rhythmicity"
"sigsq.wavelet.IR44",0.00815680297395164,"sigsq.wavelet.IR","Individual","Rhythmicity"
"sigsq.period.CR44",0.361191943696245,"sigsq.period.CR","Colony","Period"
"sigsq.period.IR44",0.332684936013011,"sigsq.period.IR","Individual","Period"
"sigsq.wavelet.CR45",0.133626306254024,"sigsq.wavelet.CR","Colony","Rhythmicity"
"sigsq.wavelet.IR45",0.00676562363439554,"sigsq.wavelet.IR","Individual","Rhythmicity"
"sigsq.period.CR45",0.310342831338493,"sigsq.period.CR","Colony","Period"
"sigsq.period.IR45",0.163347908629984,"sigsq.period.IR","Individual","Period"
"sigsq.wavelet.CR46",0.0731054121194799,"sigsq.wavelet.CR","Colony","Rhythmicity"
"sigsq.wavelet.IR46",0.00861843982884722,"sigsq.wavelet.IR","Individual","Rhythmicity"
"sigsq.period.CR46",0.336690650394718,"sigsq.period.CR","Colony","Period"
"sigsq.period.IR46",0.152629970945344,"sigsq.period.IR","Individual","Period"
"sigsq.wavelet.CR47",0.223886150012993,"sigsq.wavelet.CR","Colony","Rhythmicity"
"sigsq.wavelet.IR47",0.0079301443500915,"sigsq.wavelet.IR","Individual","Rhythmicity"
"sigsq.period.CR47",0.340958461620568,"sigsq.period.CR","Colony","Period"
"sigsq.period.IR47",0.129112554104708,"sigsq.period.IR","Individual","Period"
"sigsq.wavelet.CR48",0.178959361740233,"sigsq.wavelet.CR","Colony","Rhythmicity"
"sigsq.wavelet.IR48",0.0112890695453065,"sigsq.wavelet.IR","Individual","Rhythmicity"
"sigsq.period.CR48",0.395107131431412,"sigsq.period.CR","Colony","Period"
"sigsq.period.IR48",0.122104818718371,"sigsq.period.IR","Individual","Period"
"sigsq.wavelet.CR49",0.100689902442247,"sigsq.wavelet.CR","Colony","Rhythmicity"
"sigsq.wavelet.IR49",0.00370398063376868,"sigsq.wavelet.IR","Individual","Rhythmicity"
"sigsq.period.CR49",0.294414661036571,"sigsq.period.CR","Colony","Period"
"sigsq.period.IR49",0.100448098271018,"sigsq.period.IR","Individual","Period"
"sigsq.wavelet.CR50",0.126558870488342,"sigsq.wavelet.CR","Colony","Rhythmicity"
"sigsq.wavelet.IR50",0.00609303280493932,"sigsq.wavelet.IR","Individual","Rhythmicity"
"sigsq.period.CR50",0.30158604352124,"sigsq.period.CR","Colony","Period"
"sigsq.period.IR50",0.118505891998442,"sigsq.period.IR","Individual","Period"
"sigsq.wavelet.CR51",0.17920299356159,"sigsq.wavelet.CR","Colony","Rhythmicity"
"sigsq.wavelet.IR51",0.00796696866854165,"sigsq.wavelet.IR","Individual","Rhythmicity"
"sigsq.period.CR51",0.282435376962313,"sigsq.period.CR","Colony","Period"
"sigsq.period.IR51",0.227390259865541,"sigsq.period.IR","Individual","Period"
"sigsq.wavelet.CR52",0.0679451385146952,"sigsq.wavelet.CR","Colony","Rhythmicity"
"sigsq.wavelet.IR52",0.00633144086958072,"sigsq.wavelet.IR","Individual","Rhythmicity"
"sigsq.period.CR52",0.32020911345632,"sigsq.period.CR","Colony","Period"
"sigsq.period.IR52",0.246982889055085,"sigsq.period.IR","Individual","Period"
"sigsq.wavelet.CR53",0.093575789915916,"sigsq.wavelet.CR","Colony","Rhythmicity"
"sigsq.wavelet.IR53",0.0206598128589818,"sigsq.wavelet.IR","Individual","Rhythmicity"
"sigsq.period.CR53",0.392341180178619,"sigsq.period.CR","Colony","Period"
"sigsq.period.IR53",0.0922349311112021,"sigsq.period.IR","Individual","Period"
"sigsq.wavelet.CR54",0.0683460108467773,"sigsq.wavelet.CR","Colony","Rhythmicity"
"sigsq.wavelet.IR54",0.0107847102631663,"sigsq.wavelet.IR","Individual","Rhythmicity"
"sigsq.period.CR54",0.393733250896449,"sigsq.period.CR","Colony","Period"
"sigsq.period.IR54",0.118247802424256,"sigsq.period.IR","Individual","Period"
"sigsq.wavelet.CR55",0.060334214572792,"sigsq.wavelet.CR","Colony","Rhythmicity"
"sigsq.wavelet.IR55",0.0143502137094769,"sigsq.wavelet.IR","Individual","Rhythmicity"
"sigsq.period.CR55",0.188652775959695,"sigsq.period.CR","Colony","Period"
"sigsq.period.IR55",0.155733004760651,"sigsq.period.IR","Individual","Period"
"sigsq.wavelet.CR56",0.0888808162300503,"sigsq.wavelet.CR","Colony","Rhythmicity"
"sigsq.wavelet.IR56",0.0116910775898856,"sigsq.wavelet.IR","Individual","Rhythmicity"
"sigsq.period.CR56",0.422388027143794,"sigsq.period.CR","Colony","Period"
"sigsq.period.IR56",0.182290824632366,"sigsq.period.IR","Individual","Period"
"sigsq.wavelet.CR57",0.150281428396398,"sigsq.wavelet.CR","Colony","Rhythmicity"
"sigsq.wavelet.IR57",0.0134043767341382,"sigsq.wavelet.IR","Individual","Rhythmicity"
"sigsq.period.CR57",0.290688433109862,"sigsq.period.CR","Colony","Period"
"sigsq.period.IR57",0.217603702227714,"sigsq.period.IR","Individual","Period"
"sigsq.wavelet.CR58",0.122942546525177,"sigsq.wavelet.CR","Colony","Rhythmicity"
"sigsq.wavelet.IR58",0.00686754116340226,"sigsq.wavelet.IR","Individual","Rhythmicity"
"sigsq.period.CR58",0.343100591557691,"sigsq.period.CR","Colony","Period"
"sigsq.period.IR58",0.17587580291573,"sigsq.period.IR","Individual","Period"
"sigsq.wavelet.CR59",0.142060744761374,"sigsq.wavelet.CR","Colony","Rhythmicity"
"sigsq.wavelet.IR59",0.00866627367803301,"sigsq.wavelet.IR","Individual","Rhythmicity"
"sigsq.period.CR59",0.283194164512754,"sigsq.period.CR","Colony","Period"
"sigsq.period.IR59",0.198789306279374,"sigsq.period.IR","Individual","Period"
"sigsq.wavelet.CR60",0.156599784272995,"sigsq.wavelet.CR","Colony","Rhythmicity"
"sigsq.wavelet.IR60",0.00318146640067301,"sigsq.wavelet.IR","Individual","Rhythmicity"
"sigsq.period.CR60",0.320158124671031,"sigsq.period.CR","Colony","Period"
"sigsq.period.IR60",0.23422111318604,"sigsq.period.IR","Individual","Period"
"sigsq.wavelet.CR61",0.0509053168073856,"sigsq.wavelet.CR","Colony","Rhythmicity"
"sigsq.wavelet.IR61",0.00699802445021014,"sigsq.wavelet.IR","Individual","Rhythmicity"
"sigsq.period.CR61",0.315463129299939,"sigsq.period.CR","Colony","Period"
"sigsq.period.IR61",0.158899429640896,"sigsq.period.IR","Individual","Period"
"sigsq.wavelet.CR62",0.239455612582954,"sigsq.wavelet.CR","Colony","Rhythmicity"
"sigsq.wavelet.IR62",0.00406643843708624,"sigsq.wavelet.IR","Individual","Rhythmicity"
"sigsq.period.CR62",0.250738720833229,"sigsq.period.CR","Colony","Period"
"sigsq.period.IR62",0.182617497679418,"sigsq.period.IR","Individual","Period"
"sigsq.wavelet.CR63",0.28183423479461,"sigsq.wavelet.CR","Colony","Rhythmicity"
"sigsq.wavelet.IR63",0.00905290829973467,"sigsq.wavelet.IR","Individual","Rhythmicity"
"sigsq.period.CR63",0.328761461109521,"sigsq.period.CR","Colony","Period"
"sigsq.period.IR63",0.395415905717028,"sigsq.period.IR","Individual","Period"
"sigsq.wavelet.CR64",0.105191293123864,"sigsq.wavelet.CR","Colony","Rhythmicity"
"sigsq.wavelet.IR64",0.00385370467991973,"sigsq.wavelet.IR","Individual","Rhythmicity"
"sigsq.period.CR64",0.391896123816365,"sigsq.period.CR","Colony","Period"
"sigsq.period.IR64",0.18001492936778,"sigsq.period.IR","Individual","Period"
"sigsq.wavelet.CR65",0.0807256937688502,"sigsq.wavelet.CR","Colony","Rhythmicity"
"sigsq.wavelet.IR65",0.00677228848893724,"sigsq.wavelet.IR","Individual","Rhythmicity"
"sigsq.period.CR65",0.291668564668181,"sigsq.period.CR","Colony","Period"
"sigsq.period.IR65",0.0743767818997161,"sigsq.period.IR","Individual","Period"
"sigsq.wavelet.CR66",0.0619373902219101,"sigsq.wavelet.CR","Colony","Rhythmicity"
"sigsq.wavelet.IR66",0.00733715381567761,"sigsq.wavelet.IR","Individual","Rhythmicity"
"sigsq.period.CR66",0.406926418699264,"sigsq.period.CR","Colony","Period"
"sigsq.period.IR66",0.31540383119943,"sigsq.period.IR","Individual","Period"
"sigsq.wavelet.CR67",0.0991678377493866,"sigsq.wavelet.CR","Colony","Rhythmicity"
"sigsq.wavelet.IR67",0.00976345818291942,"sigsq.wavelet.IR","Individual","Rhythmicity"
"sigsq.period.CR67",0.342014511010752,"sigsq.period.CR","Colony","Period"
"sigsq.period.IR67",0.25916719455893,"sigsq.period.IR","Individual","Period"
"sigsq.wavelet.CR68",0.0863147369512747,"sigsq.wavelet.CR","Colony","Rhythmicity"
"sigsq.wavelet.IR68",0.00758209984586242,"sigsq.wavelet.IR","Individual","Rhythmicity"
"sigsq.period.CR68",0.323754072393309,"sigsq.period.CR","Colony","Period"
"sigsq.period.IR68",0.0917383794775295,"sigsq.period.IR","Individual","Period"
"sigsq.wavelet.CR69",0.0915756624264323,"sigsq.wavelet.CR","Colony","Rhythmicity"
"sigsq.wavelet.IR69",0.0140661268572124,"sigsq.wavelet.IR","Individual","Rhythmicity"
"sigsq.period.CR69",0.435081367003141,"sigsq.period.CR","Colony","Period"
"sigsq.period.IR69",0.112200430989609,"sigsq.period.IR","Individual","Period"
"sigsq.wavelet.CR70",0.114604824154552,"sigsq.wavelet.CR","Colony","Rhythmicity"
"sigsq.wavelet.IR70",0.00288092416490038,"sigsq.wavelet.IR","Individual","Rhythmicity"
"sigsq.period.CR70",0.360311182438055,"sigsq.period.CR","Colony","Period"
"sigsq.period.IR70",0.0681269547230445,"sigsq.period.IR","Individual","Period"
"sigsq.wavelet.CR71",0.0933606197425252,"sigsq.wavelet.CR","Colony","Rhythmicity"
"sigsq.wavelet.IR71",0.018365834206541,"sigsq.wavelet.IR","Individual","Rhythmicity"
"sigsq.period.CR71",0.439849947191997,"sigsq.period.CR","Colony","Period"
"sigsq.period.IR71",0.0485275582319065,"sigsq.period.IR","Individual","Period"
"sigsq.wavelet.CR72",0.193945634116913,"sigsq.wavelet.CR","Colony","Rhythmicity"
"sigsq.wavelet.IR72",0.00606966518673425,"sigsq.wavelet.IR","Individual","Rhythmicity"
"sigsq.period.CR72",0.258065809204753,"sigsq.period.CR","Colony","Period"
"sigsq.period.IR72",0.0845948587096814,"sigsq.period.IR","Individual","Period"
"sigsq.wavelet.CR73",0.15157863112872,"sigsq.wavelet.CR","Colony","Rhythmicity"
"sigsq.wavelet.IR73",0.0175739600351723,"sigsq.wavelet.IR","Individual","Rhythmicity"
"sigsq.period.CR73",0.356320204341186,"sigsq.period.CR","Colony","Period"
"sigsq.period.IR73",0.212312326066988,"sigsq.period.IR","Individual","Period"
"sigsq.wavelet.CR74",0.171993369913647,"sigsq.wavelet.CR","Colony","Rhythmicity"
"sigsq.wavelet.IR74",0.00528866573073034,"sigsq.wavelet.IR","Individual","Rhythmicity"
"sigsq.period.CR74",0.295314811530676,"sigsq.period.CR","Colony","Period"
"sigsq.period.IR74",0.243713529786902,"sigsq.period.IR","Individual","Period"
"sigsq.wavelet.CR75",0.0973033383725323,"sigsq.wavelet.CR","Colony","Rhythmicity"
"sigsq.wavelet.IR75",0.00394102680644048,"sigsq.wavelet.IR","Individual","Rhythmicity"
"sigsq.period.CR75",0.516705387701018,"sigsq.period.CR","Colony","Period"
"sigsq.period.IR75",0.168699666560641,"sigsq.period.IR","Individual","Period"
"sigsq.wavelet.CR76",0.0561015775434229,"sigsq.wavelet.CR","Colony","Rhythmicity"
"sigsq.wavelet.IR76",0.00907302912044648,"sigsq.wavelet.IR","Individual","Rhythmicity"
"sigsq.period.CR76",0.343812373149308,"sigsq.period.CR","Colony","Period"
"sigsq.period.IR76",0.0974378246872198,"sigsq.period.IR","Individual","Period"
"sigsq.wavelet.CR77",0.105981891550837,"sigsq.wavelet.CR","Colony","Rhythmicity"
"sigsq.wavelet.IR77",0.00577077739553233,"sigsq.wavelet.IR","Individual","Rhythmicity"
"sigsq.period.CR77",0.39929919784043,"sigsq.period.CR","Colony","Period"
