"","sigsq","sigsq.tier","source","trait"
"sigsq.wavelet.CR9102",0.184656525093737,"sigsq.wavelet.CR","Colony","Rhythmicity"
"sigsq.wavelet.IR9102",0.00846785095593913,"sigsq.wavelet.IR","Individual","Rhythmicity"
"sigsq.period.CR9102",0.288994024096674,"sigsq.period.CR","Colony","Period"
"sigsq.period.IR9102",0.289983408581539,"sigsq.period.IR","Individual","Period"
"sigsq.wavelet.CR9103",0.117845251868122,"sigsq.wavelet.CR","Colony","Rhythmicity"
"sigsq.wavelet.IR9103",0.00998293511136764,"sigsq.wavelet.IR","Individual","Rhythmicity"
"sigsq.period.CR9103",0.232193062868445,"sigsq.period.CR","Colony","Period"
"sigsq.period.IR9103",0.113088694434422,"sigsq.period.IR","Individual","Period"
"sigsq.wavelet.CR9104",0.0764157306477061,"sigsq.wavelet.CR","Colony","Rhythmicity"
"sigsq.wavelet.IR9104",0.00873775629071393,"sigsq.wavelet.IR","Individual","Rhythmicity"
"sigsq.period.CR9104",0.358404000530235,"sigsq.period.CR","Colony","Period"
"sigsq.period.IR9104",0.083414786460356,"sigsq.period.IR","Individual","Period"
"sigsq.wavelet.CR9105",0.0832677611061228,"sigsq.wavelet.CR","Colony","Rhythmicity"
"sigsq.wavelet.IR9105",0.00287456868149122,"sigsq.wavelet.IR","Individual","Rhythmicity"
"sigsq.period.CR9105",0.263862419698512,"sigsq.period.CR","Colony","Period"
"sigsq.period.IR9105",0.258555896038127,"sigsq.period.IR","Individual","Period"
"sigsq.wavelet.CR9106",0.109364034792318,"sigsq.wavelet.CR","Colony","Rhythmicity"
"sigsq.wavelet.IR9106",0.00454154330272196,"sigsq.wavelet.IR","Individual","Rhythmicity"
"sigsq.period.CR9106",0.32416474158278,"sigsq.period.CR","Colony","Period"
"sigsq.period.IR9106",0.0333703991604488,"sigsq.period.IR","Individual","Period"
"sigsq.wavelet.CR9107",0.110885967944002,"sigsq.wavelet.CR","Colony","Rhythmicity"
"sigsq.wavelet.IR9107",0.00499598856423675,"sigsq.wavelet.IR","Individual","Rhythmicity"
"sigsq.period.CR9107",0.378210220941747,"sigsq.period.CR","Colony","Period"
"sigsq.period.IR9107",0.275910512788607,"sigsq.period.IR","Individual","Period"
"sigsq.wavelet.CR9108",0.181538961531084,"sigsq.wavelet.CR","Colony","Rhythmicity"
"sigsq.wavelet.IR9108",0.0124057837237066,"sigsq.wavelet.IR","Individual","Rhythmicity"
"sigsq.period.CR9108",0.297640062299706,"sigsq.period.CR","Colony","Period"
"sigsq.period.IR9108",0.108063100760744,"sigsq.period.IR","Individual","Period"
"sigsq.wavelet.CR9109",0.0629886455422188,"sigsq.wavelet.CR","Colony","Rhythmicity"
"sigsq.wavelet.IR9109",0.00658508127107033,"sigsq.wavelet.IR","Individual","Rhythmicity"
"sigsq.period.CR9109",0.268035752668615,"sigsq.period.CR","Colony","Period"
"sigsq.period.IR9109",0.155605627693841,"sigsq.period.IR","Individual","Period"
"sigsq.wavelet.CR9110",0.106079788073488,"sigsq.wavelet.CR","Colony","Rhythmicity"
"sigsq.wavelet.IR9110",0.0191406569292979,"sigsq.wavelet.IR","Individual","Rhythmicity"
"sigsq.period.CR9110",0.336594797917941,"sigsq.period.CR","Colony","Period"
"sigsq.period.IR9110",0.493069845529451,"sigsq.period.IR","Individual","Period"
"sigsq.wavelet.CR9111",0.120552564437818,"sigsq.wavelet.CR","Colony","Rhythmicity"
"sigsq.wavelet.IR9111",0.00380908625257625,"sigsq.wavelet.IR","Individual","Rhythmicity"
"sigsq.period.CR9111",0.352905093530365,"sigsq.period.CR","Colony","Period"
"sigsq.period.IR9111",0.0294065922933061,"sigsq.period.IR","Individual","Period"
"sigsq.wavelet.CR9112",0.089397091771667,"sigsq.wavelet.CR","Colony","Rhythmicity"
"sigsq.wavelet.IR9112",0.00391049716681701,"sigsq.wavelet.IR","Individual","Rhythmicity"
"sigsq.period.CR9112",0.319638835085745,"sigsq.period.CR","Colony","Period"
"sigsq.period.IR9112",0.0410021156154696,"sigsq.period.IR","Individual","Period"
"sigsq.wavelet.CR9113",0.150424638136397,"sigsq.wavelet.CR","Colony","Rhythmicity"
"sigsq.wavelet.IR9113",0.0223674933111837,"sigsq.wavelet.IR","Individual","Rhythmicity"
"sigsq.period.CR9113",0.297139219107694,"sigsq.period.CR","Colony","Period"
"sigsq.period.IR9113",0.282122185721596,"sigsq.period.IR","Individual","Period"
"sigsq.wavelet.CR9114",0.0750816943948006,"sigsq.wavelet.CR","Colony","Rhythmicity"
"sigsq.wavelet.IR9114",0.00404874277878117,"sigsq.wavelet.IR","Individual","Rhythmicity"
"sigsq.period.CR9114",0.289534176140433,"sigsq.period.CR","Colony","Period"
"sigsq.period.IR9114",0.208972507849941,"sigsq.period.IR","Individual","Period"
"sigsq.wavelet.CR9115",0.0819166552180336,"sigsq.wavelet.CR","Colony","Rhythmicity"
"sigsq.wavelet.IR9115",0.00547447031134663,"sigsq.wavelet.IR","Individual","Rhythmicity"
"sigsq.period.CR9115",0.522236347319815,"sigsq.period.CR","Colony","Period"
"sigsq.period.IR9115",0.261206061026734,"sigsq.period.IR","Individual","Period"
"sigsq.wavelet.CR9116",0.12701833064435,"sigsq.wavelet.CR","Colony","Rhythmicity"
"sigsq.wavelet.IR9116",0.00908953461730386,"sigsq.wavelet.IR","Individual","Rhythmicity"
"sigsq.period.CR9116",0.257130347621966,"sigsq.period.CR","Colony","Period"
"sigsq.period.IR9116",0.212664894435506,"sigsq.period.IR","Individual","Period"
"sigsq.wavelet.CR9117",0.113362642871322,"sigsq.wavelet.CR","Colony","Rhythmicity"
"sigsq.wavelet.IR9117",0.00727681904915306,"sigsq.wavelet.IR","Individual","Rhythmicity"
"sigsq.period.CR9117",0.248412794056666,"sigsq.period.CR","Colony","Period"
"sigsq.period.IR9117",0.233422117280355,"sigsq.period.IR","Individual","Period"
"sigsq.wavelet.CR9118",0.072372990107717,"sigsq.wavelet.CR","Colony","Rhythmicity"
"sigsq.wavelet.IR9118",0.0079651655532913,"sigsq.wavelet.IR","Individual","Rhythmicity"
"sigsq.period.CR9118",0.319845798751846,"sigsq.period.CR","Colony","Period"
"sigsq.period.IR9118",0.131674768622682,"sigsq.period.IR","Individual","Period"
"sigsq.wavelet.CR9119",0.162853112738866,"sigsq.wavelet.CR","Colony","Rhythmicity"
"sigsq.wavelet.IR9119",0.00984194018382261,"sigsq.wavelet.IR","Individual","Rhythmicity"
"sigsq.period.CR9119",0.317380111220731,"sigsq.period.CR","Colony","Period"
"sigsq.period.IR9119",0.0887486724709881,"sigsq.period.IR","Individual","Period"
"sigsq.wavelet.CR9120",0.0801120621483015,"sigsq.wavelet.CR","Colony","Rhythmicity"
"sigsq.wavelet.IR9120",0.0137807782293135,"sigsq.wavelet.IR","Individual","Rhythmicity"
"sigsq.period.CR9120",0.261199300854951,"sigsq.period.CR","Colony","Period"
"sigsq.period.IR9120",0.173482221214607,"sigsq.period.IR","Individual","Period"
"sigsq.wavelet.CR9121",0.0796047805846182,"sigsq.wavelet.CR","Colony","Rhythmicity"
"sigsq.wavelet.IR9121",0.00619467876043397,"sigsq.wavelet.IR","Individual","Rhythmicity"
