Individual,Dominant_Period,cf_wavelet,nancount,Date,Colony,Species,Origin
6_21_11,16.04241415,2.653244318,0.130208333,6/21/2022,PPT10,Temnothorax_rugatulus,Pinal_Mountains_AZ
6_21_12,59.87240666,2.622267663,0.084375,6/21/2022,HM1T10,Temnothorax_adustus,Huachuca_Mountains_AZ
6_21_13,34.38766752,2.489498233,0.014583333,6/21/2022,HM1T10,Temnothorax_adustus,Huachuca_Mountains_AZ
6_21_14,21.16809238,2.464153018,0,6/21/2022,HM1T10,Temnothorax_adustus,Huachuca_Mountains_AZ
6_21_15,9.213947371,2.259216014,0.110416667,6/21/2022,HM1T10,Temnothorax_adustus,Huachuca_Mountains_AZ
6_21_16,27.93146535,2.97237752,0.03125,6/21/2022,HM1T10,Temnothorax_adustus,Huachuca_Mountains_AZ
6_21_17,36.85578948,2.734242661,0.016666667,6/21/2022,HM1T10,Temnothorax_adustus,Huachuca_Mountains_AZ
6_21_18,13.03048934,2.531079285,0.019791667,6/21/2022,WRT5,Temnothorax_rugatulus,Rimrock_WA
6_21_19,17.19383376,3.091680524,0.029166667,6/21/2022,WRT5,Temnothorax_rugatulus,Rimrock_WA
6_21_2,29.93620333,2.614221102,0.076041667,6/21/2022,PPL17,Leptothorax_crassipilis,Pinal_Mountains_AZ
6_21_20,52.12195734,3.25122571,0.038541667,6/21/2022,WRT5,Temnothorax_rugatulus,Rimrock_WA
6_21_21,9.213947371,2.676450687,0.066666667,6/21/2022,WRT5,Temnothorax_rugatulus,Rimrock_WA
6_21_22,18.42789474,2.797066558,0.288541667,6/21/2022,WRT5,Temnothorax_rugatulus,Rimrock_WA
6_21_23,9.875264278,2.326032965,0.010416667,6/21/2022,PPL5,Leptothorax_crassipilis,Pinal_Mountains_AZ
6_21_24,16.04241415,2.504721615,0.01875,6/21/2022,PPL5,Leptothorax_crassipilis,Pinal_Mountains_AZ
6_21_25,13.03048934,2.785183192,0.025,6/21/2022,PPL5,Leptothorax_crassipilis,Pinal_Mountains_AZ
6_21_26,27.93146535,3.030084634,0.034375,6/21/2022,BCGT1,Temnothorax_subditivus,Barton_Creek_Greenbelt_Austin_TX
6_21_27,16.04241415,2.676069731,0,6/21/2022,BCGT1,Temnothorax_subditivus,Barton_Creek_Greenbelt_Austin_TX
6_21_28,17.19383376,2.232419815,0.00625,6/21/2022,BCGT1,Temnothorax_subditivus,Barton_Creek_Greenbelt_Austin_TX
6_21_29,79.00211422,2.296273189,0.033333333,6/21/2022,BCGT1,Temnothorax_subditivus,Barton_Creek_Greenbelt_Austin_TX
6_21_3,11.34369983,2.689203618,0.026041667,6/21/2022,PPL17,Leptothorax_crassipilis,Pinal_Mountains_AZ
6_21_30,11.34369983,2.398535409,0.00625,6/21/2022,BCGT1,Temnothorax_subditivus,Barton_Creek_Greenbelt_Austin_TX
6_21_31,16.04241415,3.098546116,0.002083333,6/21/2022,BCGT1,Temnothorax_subditivus,Barton_Creek_Greenbelt_Austin_TX
6_21_32,19.75052856,2.704486635,0.075,6/21/2022,BCGT1,Temnothorax_subditivus,Barton_Creek_Greenbelt_Austin_TX
6_21_33,16.04241415,2.488773995,0.025,6/21/2022,BCGT1,Temnothorax_subditivus,Barton_Creek_Greenbelt_Austin_TX
6_21_34,10.58404619,2.530019721,0,6/21/2022,BCGT1,Temnothorax_subditivus,Barton_Creek_Greenbelt_Austin_TX
6_21_35,36.85578948,2.651643006,0.004166667,6/21/2022,BCGT1,Temnothorax_subditivus,Barton_Creek_Greenbelt_Austin_TX
6_21_36,84.67236951,2.587557474,0.00625,6/21/2022,HM1T9,Temnothorax_adustus,Huachuca_Mountains_AZ
6_21_37,52.12195734,2.800883766,0.016666667,6/21/2022,HM1T9,Temnothorax_adustus,Huachuca_Mountains_AZ
6_21_38,48.63150578,3.132856245,0.016666667,6/21/2022,HM1T9,Temnothorax_adustus,Huachuca_Mountains_AZ
6_21_39,16.04241415,3.143336941,0.05,6/21/2022,BFLT6,Temnothorax_subditivus,Brackenridge_Field_Laboratory_Austin_TX
6_21_4,16.04241415,2.759409503,0.035416667,6/21/2022,PPL17,Leptothorax_crassipilis,Pinal_Mountains_AZ
6_21_40,14.96810166,2.73672793,0.044791667,6/21/2022,BFLT6,Temnothorax_subditivus,Brackenridge_Field_Laboratory_Austin_TX
6_21_41,21.16809238,2.820806376,0.004166667,6/21/2022,BFLT6,Temnothorax_subditivus,Brackenridge_Field_Laboratory_Austin_TX
6_21_42,14.96810166,2.456243502,0.133333333,6/21/2022,BFLT6,Temnothorax_subditivus,Brackenridge_Field_Laboratory_Austin_TX
6_21_43,24.31575289,3.22653398,0,6/21/2022,BFLT6,Temnothorax_subditivus,Brackenridge_Field_Laboratory_Austin_TX
6_21_44,12.15787645,3.529323527,0,6/21/2022,BFLT6,Temnothorax_subditivus,Brackenridge_Field_Laboratory_Austin_TX
6_21_45,14.96810166,2.472967297,0.002083333,6/21/2022,BFLT6,Temnothorax_subditivus,Brackenridge_Field_Laboratory_Austin_TX
6_21_46,13.96573267,2.634564809,0,6/21/2022,BFLT6,Temnothorax_subditivus,Brackenridge_Field_Laboratory_Austin_TX
6_21_47,19.75052856,2.34714479,0,6/21/2022,BFLT6,Temnothorax_subditivus,Brackenridge_Field_Laboratory_Austin_TX
6_21_48,11.34369983,2.798766333,0.004166667,6/21/2022,BFLT6,Temnothorax_subditivus,Brackenridge_Field_Laboratory_Austin_TX
6_21_5,10.58404619,2.461249502,0.014583333,6/21/2022,PPL17,Leptothorax_crassipilis,Pinal_Mountains_AZ
6_21_6,26.06097867,3.025626872,0.023958333,6/21/2022,PPL17,Leptothorax_crassipilis,Pinal_Mountains_AZ
6_21_7,39.50105711,2.880455283,0.003125,6/21/2022,PPT10,Temnothorax_rugatulus,Pinal_Mountains_AZ
6_21_8,26.06097867,2.838380584,0.004166667,6/21/2022,PPT10,Temnothorax_rugatulus,Pinal_Mountains_AZ
6_21_9,9.875264278,2.675907363,0.014583333,6/21/2022,PPT10,Temnothorax_rugatulus,Pinal_Mountains_AZ
7_17_1,18.42789474,3.288975035,0.05,7/17/2022,PFT1,Temnothorax_rudis,Pack_Experimental_Forest_Pierce_County_WA
7_17_10,18.42789474,2.618098016,0.010416667,7/17/2022,PFT1,Temnothorax_rudis,Pack_Experimental_Forest_Pierce_County_WA
7_17_11,13.03048934,2.315767207,0.014583333,7/17/2022,SHL6,Leptothorax_calderoni,UC_Sagehen_Reserve_Nevada_County_CA
