"","sigsq","sigsq.tier","source","trait"
"sigsq.period.IR9433",0.184717050128026,"sigsq.period.IR","Individual","Period"
"sigsq.wavelet.CR9434",0.11643599323618,"sigsq.wavelet.CR","Colony","Rhythmicity"
"sigsq.wavelet.IR9434",0.0175396133691789,"sigsq.wavelet.IR","Individual","Rhythmicity"
"sigsq.period.CR9434",0.365473957322851,"sigsq.period.CR","Colony","Period"
"sigsq.period.IR9434",0.136599444011451,"sigsq.period.IR","Individual","Period"
"sigsq.wavelet.CR9435",0.0886476403134902,"sigsq.wavelet.CR","Colony","Rhythmicity"
"sigsq.wavelet.IR9435",0.0082851981847275,"sigsq.wavelet.IR","Individual","Rhythmicity"
"sigsq.period.CR9435",0.369051142981917,"sigsq.period.CR","Colony","Period"
"sigsq.period.IR9435",0.0886017476188184,"sigsq.period.IR","Individual","Period"
"sigsq.wavelet.CR9436",0.220026856007894,"sigsq.wavelet.CR","Colony","Rhythmicity"
"sigsq.wavelet.IR9436",0.00481067617313242,"sigsq.wavelet.IR","Individual","Rhythmicity"
"sigsq.period.CR9436",0.299895247401172,"sigsq.period.CR","Colony","Period"
"sigsq.period.IR9436",0.0918827293977503,"sigsq.period.IR","Individual","Period"
"sigsq.wavelet.CR9437",0.072603907987115,"sigsq.wavelet.CR","Colony","Rhythmicity"
"sigsq.wavelet.IR9437",0.00668597070078784,"sigsq.wavelet.IR","Individual","Rhythmicity"
"sigsq.period.CR9437",0.327858254822527,"sigsq.period.CR","Colony","Period"
"sigsq.period.IR9437",0.0912198792025779,"sigsq.period.IR","Individual","Period"
"sigsq.wavelet.CR9438",0.163475048931018,"sigsq.wavelet.CR","Colony","Rhythmicity"
"sigsq.wavelet.IR9438",0.00837329998847173,"sigsq.wavelet.IR","Individual","Rhythmicity"
"sigsq.period.CR9438",0.268258791800076,"sigsq.period.CR","Colony","Period"
"sigsq.period.IR9438",0.104578161131013,"sigsq.period.IR","Individual","Period"
"sigsq.wavelet.CR9439",0.251900119058573,"sigsq.wavelet.CR","Colony","Rhythmicity"
"sigsq.wavelet.IR9439",0.00992505753644314,"sigsq.wavelet.IR","Individual","Rhythmicity"
"sigsq.period.CR9439",0.287540595188495,"sigsq.period.CR","Colony","Period"
"sigsq.period.IR9439",0.0749632459948203,"sigsq.period.IR","Individual","Period"
"sigsq.wavelet.CR9440",0.0592151204034847,"sigsq.wavelet.CR","Colony","Rhythmicity"
"sigsq.wavelet.IR9440",0.00959495597960632,"sigsq.wavelet.IR","Individual","Rhythmicity"
"sigsq.period.CR9440",0.292713568684897,"sigsq.period.CR","Colony","Period"
"sigsq.period.IR9440",0.257130035154746,"sigsq.period.IR","Individual","Period"
"sigsq.wavelet.CR9441",0.105692286469792,"sigsq.wavelet.CR","Colony","Rhythmicity"
"sigsq.wavelet.IR9441",0.0041096243912355,"sigsq.wavelet.IR","Individual","Rhythmicity"
"sigsq.period.CR9441",0.367156183636805,"sigsq.period.CR","Colony","Period"
"sigsq.period.IR9441",0.0423161534280172,"sigsq.period.IR","Individual","Period"
"sigsq.wavelet.CR9442",0.247772350948999,"sigsq.wavelet.CR","Colony","Rhythmicity"
"sigsq.wavelet.IR9442",0.00541600852999884,"sigsq.wavelet.IR","Individual","Rhythmicity"
"sigsq.period.CR9442",0.317718369614217,"sigsq.period.CR","Colony","Period"
"sigsq.period.IR9442",0.0512797825925102,"sigsq.period.IR","Individual","Period"
"sigsq.wavelet.CR9443",0.209361568129299,"sigsq.wavelet.CR","Colony","Rhythmicity"
"sigsq.wavelet.IR9443",0.0091556618309221,"sigsq.wavelet.IR","Individual","Rhythmicity"
"sigsq.period.CR9443",0.317118097394307,"sigsq.period.CR","Colony","Period"
"sigsq.period.IR9443",0.268374557864768,"sigsq.period.IR","Individual","Period"
"sigsq.wavelet.CR9444",0.0746821274686737,"sigsq.wavelet.CR","Colony","Rhythmicity"
"sigsq.wavelet.IR9444",0.00770354437883393,"sigsq.wavelet.IR","Individual","Rhythmicity"
"sigsq.period.CR9444",0.410444035026732,"sigsq.period.CR","Colony","Period"
"sigsq.period.IR9444",0.261249637858031,"sigsq.period.IR","Individual","Period"
"sigsq.wavelet.CR9445",0.0971890182002888,"sigsq.wavelet.CR","Colony","Rhythmicity"
"sigsq.wavelet.IR9445",0.00698246049323746,"sigsq.wavelet.IR","Individual","Rhythmicity"
"sigsq.period.CR9445",0.30724058525935,"sigsq.period.CR","Colony","Period"
"sigsq.period.IR9445",0.0517908381867169,"sigsq.period.IR","Individual","Period"
"sigsq.wavelet.CR9446",0.132591887095946,"sigsq.wavelet.CR","Colony","Rhythmicity"
"sigsq.wavelet.IR9446",0.00891076475426646,"sigsq.wavelet.IR","Individual","Rhythmicity"
"sigsq.period.CR9446",0.31470563415172,"sigsq.period.CR","Colony","Period"
"sigsq.period.IR9446",0.062788453362381,"sigsq.period.IR","Individual","Period"
"sigsq.wavelet.CR9447",0.110678796060657,"sigsq.wavelet.CR","Colony","Rhythmicity"
"sigsq.wavelet.IR9447",0.0125844903530241,"sigsq.wavelet.IR","Individual","Rhythmicity"
"sigsq.period.CR9447",0.340149417851748,"sigsq.period.CR","Colony","Period"
"sigsq.period.IR9447",0.141518107497866,"sigsq.period.IR","Individual","Period"
"sigsq.wavelet.CR9448",0.111009514985274,"sigsq.wavelet.CR","Colony","Rhythmicity"
"sigsq.wavelet.IR9448",0.0213556979258248,"sigsq.wavelet.IR","Individual","Rhythmicity"
"sigsq.period.CR9448",0.38812359327452,"sigsq.period.CR","Colony","Period"
"sigsq.period.IR9448",0.0568828353984261,"sigsq.period.IR","Individual","Period"
"sigsq.wavelet.CR9449",0.12934838233208,"sigsq.wavelet.CR","Colony","Rhythmicity"
"sigsq.wavelet.IR9449",0.00846862636370064,"sigsq.wavelet.IR","Individual","Rhythmicity"
"sigsq.period.CR9449",0.292303060666688,"sigsq.period.CR","Colony","Period"
"sigsq.period.IR9449",0.145058029424931,"sigsq.period.IR","Individual","Period"
"sigsq.wavelet.CR9450",0.10639209241342,"sigsq.wavelet.CR","Colony","Rhythmicity"
"sigsq.wavelet.IR9450",0.00324824025804328,"sigsq.wavelet.IR","Individual","Rhythmicity"
"sigsq.period.CR9450",0.27513610982369,"sigsq.period.CR","Colony","Period"
"sigsq.period.IR9450",0.144008898346627,"sigsq.period.IR","Individual","Period"
"sigsq.wavelet.CR9451",0.0957021585013862,"sigsq.wavelet.CR","Colony","Rhythmicity"
"sigsq.wavelet.IR9451",0.00785331451992357,"sigsq.wavelet.IR","Individual","Rhythmicity"
"sigsq.period.CR9451",0.454260531627806,"sigsq.period.CR","Colony","Period"
"sigsq.period.IR9451",0.226854406788187,"sigsq.period.IR","Individual","Period"
"sigsq.wavelet.CR9452",0.121471658504827,"sigsq.wavelet.CR","Colony","Rhythmicity"
"sigsq.wavelet.IR9452",0.00440186817063323,"sigsq.wavelet.IR","Individual","Rhythmicity"
"sigsq.period.CR9452",0.361920485172609,"sigsq.period.CR","Colony","Period"
"sigsq.period.IR9452",0.146178483992483,"sigsq.period.IR","Individual","Period"
"sigsq.wavelet.CR9453",0.0913403526508449,"sigsq.wavelet.CR","Colony","Rhythmicity"
"sigsq.wavelet.IR9453",0.00384524296858626,"sigsq.wavelet.IR","Individual","Rhythmicity"
"sigsq.period.CR9453",0.35728295456842,"sigsq.period.CR","Colony","Period"
"sigsq.period.IR9453",0.109980546476701,"sigsq.period.IR","Individual","Period"
"sigsq.wavelet.CR9454",0.0980705628209955,"sigsq.wavelet.CR","Colony","Rhythmicity"
"sigsq.wavelet.IR9454",0.0114379522025834,"sigsq.wavelet.IR","Individual","Rhythmicity"
"sigsq.period.CR9454",0.388727438382847,"sigsq.period.CR","Colony","Period"
"sigsq.period.IR9454",0.0911084073260496,"sigsq.period.IR","Individual","Period"
"sigsq.wavelet.CR9455",0.0648361103340871,"sigsq.wavelet.CR","Colony","Rhythmicity"
"sigsq.wavelet.IR9455",0.0104826552442593,"sigsq.wavelet.IR","Individual","Rhythmicity"
"sigsq.period.CR9455",0.30431161349702,"sigsq.period.CR","Colony","Period"
"sigsq.period.IR9455",0.237330128241269,"sigsq.period.IR","Individual","Period"
"sigsq.wavelet.CR9456",0.0789210902190233,"sigsq.wavelet.CR","Colony","Rhythmicity"
"sigsq.wavelet.IR9456",0.0110351593549099,"sigsq.wavelet.IR","Individual","Rhythmicity"
"sigsq.period.CR9456",0.22472916435085,"sigsq.period.CR","Colony","Period"
"sigsq.period.IR9456",0.155824052094169,"sigsq.period.IR","Individual","Period"
